end,val,accn,fy,fp,form,filed,frame
2024-12-31,2741288000,0001492298-25-000008,2024,FY,10-K,2025-02-19,
2023-12-31,2802534000,0001492298-25-000008,2024,FY,10-K,2025-02-19,
2023-12-31,2802534000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2022-12-31,3056395000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2022Q4I
2022-12-31,3056395000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2022-12-31,3056395000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2021-12-31,3379530000,0001492298-24-000008,2023,FY,10-K,2024-02-27,
2021-12-31,3379530000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2021-12-31,3379530000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2021-12-31,3379530000,0001492298-25-000008,2024,FY,10-K,2025-02-19,CY2021Q4I
2020-12-31,3409228000,0001492298-24-000008,2023,FY,10-K,2024-02-27,CY2020Q4I
2020-12-31,3409228000,0001492298-23-000006,2022,FY,10-K,2023-02-21,
2020-12-31,3409228000,0001492298-22-000014,2021,FY,10-K,2022-02-22,
2019-12-31,3488460000,0001492298-23-000006,2022,FY,10-K,2023-02-21,CY2019Q4I
2019-12-31,3488460000,0001492298-20-000007,2019,FY,10-K,2020-02-24,
2018-12-31,3250414000,0001492298-20-000007,2019,FY,10-K,2020-02-24,CY2018Q4I
2018-12-31,3250414000,0001492298-19-000006,2018,FY,10-K,2019-02-25,
2017-12-31,3432807000,0001492298-19-000006,2018,FY,10-K,2019-02-25,CY2017Q4I
2017-12-31,3432807000,0001492298-18-000008,2017,FY,10-K,2018-02-21,
2016-12-31,1015574000,0001492298-18-000008,2017,FY,10-K,2018-02-21,CY2016Q4I
2016-12-31,1015574000,0001492298-17-000006,2016,FY,10-K,2017-02-22,
2015-12-31,1053770000,0001492298-17-000006,2016,FY,10-K,2017-02-22,CY2015Q4I
2015-12-31,1053876000,0001492298-16-000054,2015,FY,10-K,2016-02-22,
2014-12-31,941823000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2014Q4I
2014-12-31,941866000,0001492298-15-000010,2014,FY,10-K,2015-02-19,
2013-12-31,460164000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2013Q4I
2013-12-31,460164000,0001492298-15-000010,2014,FY,10-K,2015-02-19,
2013-12-31,460164000,0001492298-14-000011,2013,FY,10-K,2014-02-28,
2012-12-31,305488000,0001492298-14-000011,2013,FY,10-K,2014-02-28,
2012-12-31,305488000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2012-12-31,305488000,0001492298-15-000010,2014,FY,10-K,2015-02-19,
2012-12-31,305488000,0001492298-16-000054,2015,FY,10-K,2016-02-22,CY2012Q4I
2011-12-31,326573000,0001492298-15-000010,2014,FY,10-K,2015-02-19,CY2011Q4I
2011-12-31,326573000,0001492298-14-000011,2013,FY,10-K,2014-02-28,
2011-12-31,326573000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2011-12-31,326573000,0001492298-12-000012,2011,FY,10-K,2012-03-01,
2010-12-31,177533000,0001492298-14-000011,2013,FY,10-K,2014-02-28,CY2010Q4I
2010-12-31,177533000,0001492298-12-000012,2011,FY,10-K,2012-03-01,
2010-11-15,177191000,0001492298-13-000009,2012,FY,10-K,2013-03-14,
2010-11-14,177191000,0001492298-13-000009,2012,FY,10-K,2013-03-14,CY2010Q3I
2010-11-14,177191000,0001492298-12-000012,2011,FY,10-K,2012-03-01,
